threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.7071197411003236,0.6353467561521253,0.9403973509933775,0.7583444592790387,153,163,18,284
0.06,0.8462783171521036,0.8204334365325078,0.8774834437086093,0.848,258,58,37,265
0.07,0.86084142394822,0.8506493506493507,0.8675496688741722,0.8590163934426229,270,46,40,262
0.08,0.8559870550161812,0.8538205980066446,0.8509933774834437,0.8524046434494196,272,44,45,257
0.09,0.8592233009708737,0.8619528619528619,0.847682119205298,0.8547579298831386,275,41,46,256
0.1,0.86084142394822,0.8648648648648649,0.847682119205298,0.8561872909698997,276,40,46,256
0.11,0.86084142394822,0.8648648648648649,0.847682119205298,0.8561872909698997,276,40,46,256
0.12,0.8592233009708737,0.864406779661017,0.8443708609271523,0.8542713567839196,276,40,47,255
0.13,0.86084142394822,0.8673469387755102,0.8443708609271523,0.8557046979865772,277,39,47,255
0.14,0.86084142394822,0.8698630136986302,0.8410596026490066,0.8552188552188552,278,38,48,254
0.15,0.8624595469255664,0.872852233676976,0.8410596026490066,0.8566610455311973,279,37,48,254
0.16,0.8624595469255664,0.872852233676976,0.8410596026490066,0.8566610455311973,279,37,48,254
0.17,0.8624595469255664,0.872852233676976,0.8410596026490066,0.8566610455311973,279,37,48,254
0.18,0.8624595469255664,0.872852233676976,0.8410596026490066,0.8566610455311973,279,37,48,254
0.19,0.8624595469255664,0.872852233676976,0.8410596026490066,0.8566610455311973,279,37,48,254
0.2,0.86084142394822,0.8724137931034482,0.8377483443708609,0.8547297297297297,279,37,49,253
0.21,0.86084142394822,0.8724137931034482,0.8377483443708609,0.8547297297297297,279,37,49,253
0.22,0.86084142394822,0.8724137931034482,0.8377483443708609,0.8547297297297297,279,37,49,253
0.23,0.86084142394822,0.8724137931034482,0.8377483443708609,0.8547297297297297,279,37,49,253
0.24,0.86084142394822,0.8724137931034482,0.8377483443708609,0.8547297297297297,279,37,49,253
0.25,0.8592233009708737,0.8719723183391004,0.8344370860927153,0.8527918781725888,279,37,50,252
0.26,0.8576051779935275,0.8715277777777778,0.8311258278145696,0.8508474576271187,279,37,51,251
0.27,0.8576051779935275,0.8715277777777778,0.8311258278145696,0.8508474576271187,279,37,51,251
0.28,0.8576051779935275,0.8715277777777778,0.8311258278145696,0.8508474576271187,279,37,51,251
0.29,0.8576051779935275,0.8715277777777778,0.8311258278145696,0.8508474576271187,279,37,51,251
0.3,0.8576051779935275,0.8715277777777778,0.8311258278145696,0.8508474576271187,279,37,51,251
0.31,0.8559870550161812,0.8710801393728222,0.8278145695364238,0.8488964346349746,279,37,52,250
0.32,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.33,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.34,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.35,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.36,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.37,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.38,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.39,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.4,0.8559870550161812,0.8736842105263158,0.8245033112582781,0.848381601362862,280,36,53,249
0.41,0.8576051779935275,0.8767605633802817,0.8245033112582781,0.8498293515358362,281,35,53,249
0.42,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.43,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.44,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.45,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.46,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.47,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.48,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.49,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.5,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.51,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.52,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.53,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.54,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.55,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.56,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.57,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.58,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.59,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.6,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.61,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.62,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.63,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.64,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.65,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.66,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.67,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.68,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.69,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.7,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.71,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.72,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.73,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.74,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.75,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.76,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.77,0.8592233009708737,0.8798586572438163,0.8245033112582781,0.8512820512820513,282,34,53,249
0.78,0.8576051779935275,0.8794326241134752,0.8211920529801324,0.8493150684931506,282,34,54,248
0.79,0.8576051779935275,0.8794326241134752,0.8211920529801324,0.8493150684931506,282,34,54,248
0.8,0.8559870550161812,0.8817204301075269,0.8145695364238411,0.846815834767642,283,33,56,246
0.81,0.8559870550161812,0.8817204301075269,0.8145695364238411,0.846815834767642,283,33,56,246
0.82,0.8543689320388349,0.8812949640287769,0.8112582781456954,0.8448275862068966,283,33,57,245
0.83,0.8543689320388349,0.8812949640287769,0.8112582781456954,0.8448275862068966,283,33,57,245
0.84,0.8527508090614887,0.8808664259927798,0.8079470198675497,0.842832469775475,283,33,58,244
0.85,0.8527508090614887,0.8808664259927798,0.8079470198675497,0.842832469775475,283,33,58,244
0.86,0.8527508090614887,0.8808664259927798,0.8079470198675497,0.842832469775475,283,33,58,244
0.87,0.8495145631067961,0.88,0.8013245033112583,0.8388214904679376,283,33,60,242
0.88,0.8495145631067961,0.88,0.8013245033112583,0.8388214904679376,283,33,60,242
0.89,0.8478964401294499,0.8795620437956204,0.7980132450331126,0.8368055555555556,283,33,61,241
0.9,0.8478964401294499,0.8795620437956204,0.7980132450331126,0.8368055555555556,283,33,61,241
0.91,0.8478964401294499,0.8795620437956204,0.7980132450331126,0.8368055555555556,283,33,61,241
0.92,0.8478964401294499,0.8823529411764706,0.7947019867549668,0.8362369337979094,284,32,62,240
0.93,0.8511326860841424,0.8917910447761194,0.7913907284768212,0.8385964912280702,287,29,63,239
0.94,0.8511326860841424,0.8917910447761194,0.7913907284768212,0.8385964912280702,287,29,63,239
0.95,0.8446601941747572,0.8931297709923665,0.7748344370860927,0.8297872340425532,288,28,68,234
